FakeNN JSON Name,M,N,K,m,n,k,JSON Name,m Dim,Space Remaining,Reduction Dim,tileC,tileB,tileC_cc,tileA_cc,Weight Matrix Tile Size,tileB_cc,Space Needed in L1,tileA,Row Dim,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,stage
512x384x384w32-32-32,512,384,384,32,32,32,32-32-32,32,65536,32,8192,8192,1024,1024,16384,8192,49152,8192,32,18432,4,4,32,8,4,5,4,32,8,5,2359296.0,141557760.0,8847360.0,61931520.0,8847360,70778880.0,32,16.0,12.0,12.0,4915200.0,2
512x384x384w32-24-32,512,384,384,32,24,32,32-24-32,32,73728,32,6144,6144,768,1024,12288,6144,40960,8192,24,24576,4,3,32,8,4,5,3,32,8,5,2359296.0,141557760.0,8847360.0,61931520.0,8847360,70778880.0,32,16.0,16.0,12.0,5701632.0,2
512x384x384w32-32-24,512,384,384,32,32,24,32-32-24,32,73728,24,8192,6144,1024,768,12288,6144,40960,6144,32,24576,4,4,24,8,4,5,4,24,8,5,3145728.0,138412032.0,8650752.0,60555264.0,8650752,69206016.0,24,16.0,12.0,16.0,4915200.0,2
512x384x384w16-16-64,512,384,384,16,16,64,16-16-64,16,77824,64,2048,8192,256,1024,16384,8192,36864,8192,16,36864,2,2,64,8,2,3,2,64,8,3,1179648.0,146276352.0,9142272.0,63995904.0,9142272,73138176.0,64,32.0,24.0,6.0,9633792.0,2
512x384x384w16-64-16,512,384,384,16,64,16,16-64-16,16,77824,16,8192,8192,1024,256,16384,8192,36864,2048,64,36864,2,8,16,8,2,3,8,16,8,3,4718592.0,132120576.0,8257536.0,57802752.0,8257536,66060288.0,16,32.0,6.0,24.0,6094848.0,2
512x384x384w64-16-16,512,384,384,64,16,16,64-16-16,64,77824,16,8192,2048,1024,1024,4096,2048,36864,8192,16,36864,8,2,16,8,8,9,2,16,8,9,4718592.0,132120576.0,8257536.0,57802752.0,8257536,66060288.0,16,8.0,24.0,24.0,6094848.0,2
512x384x384w32-24-24,512,384,384,32,24,24,32-24-24,32,80896,24,6144,4608,768,768,9216,4608,33792,6144,24,32768,4,3,24,8,4,5,3,24,8,5,3145728.0,138412032.0,8650752.0,60555264.0,8650752,69206016.0,24,16.0,16.0,16.0,5701632.0,2
512x384x384w128-8-8,512,384,384,128,8,8,128-8-8,128,80896,8,8192,512,1024,1024,1024,512,33792,8192,8,73728,16,1,8,8,16,17,1,8,8,17,9437184.0,113246208.0,7077888.0,49545216.0,7077888,56623104.0,8,4.0,48.0,48.0,10223616.0,0
512x384x384w8-128-8,512,384,384,8,128,8,8-128-8,8,80896,8,8192,8192,1024,64,16384,8192,33792,512,128,73728,1,16,8,8,1,2,16,8,8,2,9437184.0,113246208.0,7077888.0,49545216.0,7077888,56623104.0,8,64.0,3.0,48.0,10223616.0,2
512x384x384w8-8-128,512,384,384,8,8,128,8-8-128,8,80896,128,512,8192,64,1024,16384,8192,33792,8192,8,73728,1,1,128,8,1,2,1,128,8,2,589824.0,148635648.0,9289728.0,65028096.0,9289728,74317824.0,128,64.0,48.0,3.0,19070976.0,3
